timestamp,bid,ask,trade_price,volume,side
2025-10-24 13:00:00+00:00,145629.0841,145813.0196,145947.9399,0,buy
2025-10-24 13:00:00.500000+00:00,145614.5479,145828.114,145671.6213,0,sell
2025-10-24 13:00:01+00:00,145638.7481,145804.858,145732.0264,0,buy
2025-10-24 13:00:01.500000+00:00,145620.3072,145824.2674,145886.854,0,buy
2025-10-24 13:00:02+00:00,145640.683,145804.1449,145709.9779,0,sell
2025-10-24 13:00:02.500000+00:00,145593.4242,145852.1343,145625.9558,0,sell
2025-10-24 13:00:03+00:00,145647.3096,145799.4723,145874.66,0,buy
2025-10-24 13:00:03.500000+00:00,145624.9379,145822.3541,145710.3837,0,buy
2025-10-24 13:00:04+00:00,145604.8491,145842.8374,145725.5314,0,buy
2025-10-24 13:00:04.500000+00:00,145598.1204,145850.5718,145842.8335,0,buy
2025-10-24 13:00:05+00:00,145620.8022,145828.3474,145862.1359,0,buy
2025-10-24 13:00:05.500000+00:00,145642.9211,145806.9585,145510.4746,0,sell
2025-10-24 13:00:06+00:00,145584.6027,145866.1999,145970.1995,0,buy
2025-10-24 13:00:06.500000+00:00,145647.566,145803.3817,145549.3804,0,sell
2025-10-24 13:00:07+00:00,145612.2191,145839.5104,145864.5293,0,buy
2025-10-24 13:00:07.500000+00:00,145630.2133,145822.5627,145652.196,0,sell
2025-10-24 13:00:08+00:00,145582.7284,145870.6559,145883.9642,0,buy
2025-10-24 13:00:08.500000+00:00,145644.9999,145809.4757,145611.8227,0,sell
2025-10-24 13:00:09+00:00,145611.9993,145842.8749,145790.0726,0,buy
2025-10-24 13:00:09.500000+00:00,145632.0498,145823.418,145493.196,0,sell
2025-10-24 13:00:10+00:00,145632.0769,145824.9035,145882.2819,0,buy
2025-10-24 13:00:10.500000+00:00,145600.7576,145856.4939,145710.678,0,sell
2025-10-24 13:00:11+00:00,145601.9655,145856.0964,145762.0015,0,buy
2025-10-24 13:00:11.500000+00:00,145606.1334,145852.2537,145695.4874,0,sell
2025-10-24 13:00:12+00:00,145620.8381,145838.5188,145919.1422,0,buy
2025-10-24 13:00:12.500000+00:00,145618.2705,145841.9952,145967.6402,0,buy
2025-10-24 13:00:13+00:00,145625.7874,145834.8661,145699.9234,0,sell
2025-10-24 13:00:13.500000+00:00,145597.5825,145864.2165,145981.6527,0,buy
2025-10-24 13:00:14+00:00,145593.2965,145868.9679,145984.357,0,buy
2025-10-24 13:00:14.500000+00:00,145621.7817,145841.2973,145698.6171,0,buy
2025-10-24 13:00:15+00:00,145615.4776,145848.2478,145636.865,0,sell
2025-10-24 13:00:15.500000+00:00,145626.1069,145839.016,145611.0916,0,sell
2025-10-24 13:00:16+00:00,145645.3652,145819.9814,145718.8796,0,sell
2025-10-24 13:00:16.500000+00:00,145650.1392,145815.6544,145734.505,0,sell
2025-10-24 13:00:17+00:00,145624.4851,145842.55,145856.9968,0,buy
2025-10-24 13:00:17.500000+00:00,145643.9191,145823.2915,145936.3641,0,buy
2025-10-24 13:00:18+00:00,145642.9097,145825.42,145901.6898,0,buy
2025-10-24 13:00:18.500000+00:00,145631.9604,145836.5107,145515.7819,0,sell
2025-10-24 13:00:19+00:00,145620.0307,145849.3427,145943.2289,0,buy
2025-10-24 13:00:19.500000+00:00,145637.0397,145833.4787,145515.0975,0,sell
2025-10-24 13:00:20+00:00,145658.052,145813.3443,145788.3427,0,sell
2025-10-24 13:00:20.500000+00:00,145657.4522,145814.5207,145731.265,0,sell
2025-10-24 13:00:21+00:00,145642.7161,145829.9095,145659.7284,0,sell
2025-10-24 13:00:21.500000+00:00,145632.0165,145841.2893,145959.8158,0,buy
2025-10-24 13:00:22+00:00,145627.9714,145845.7452,145836.6038,0,buy
